L-BFGS | iteration: 000, total loss=3256113168384.0000, content_loss=      0.0000, style loss=3256088880000.0000, tv loss=24359964.0000
L-BFGS | iteration: 001, total loss=3256112644096.0000, content_loss=      0.0000, style loss=3256088160000.0000, tv loss=24359964.0000
L-BFGS | iteration: 002, total loss=3256107925504.0000, content_loss=      0.0004, style loss=3256083600000.0000, tv loss=24359956.0000
L-BFGS | iteration: 003, total loss=3256103206912.0000, content_loss=      0.0012, style loss=3256078800000.0000, tv loss=24359954.0000
L-BFGS | iteration: 004, total loss=3256092983296.0000, content_loss=      0.0047, style loss=3256068480000.0000, tv loss=24359944.0000
L-BFGS | iteration: 005, total loss=3256002281472.0000, content_loss=      0.1410, style loss=3255978000000.0000, tv loss=24359864.0000
L-BFGS | iteration: 006, total loss=3255501586432.0000, content_loss=      4.2674, style loss=3255477120000.0000, tv loss=24359412.0000
L-BFGS | iteration: 007, total loss=3250015698944.0000, content_loss=    424.2362, style loss=3249991440000.0000, tv loss=24354456.0000
L-BFGS | iteration: 008, total loss=3197282025472.0000, content_loss=  40247.9076, style loss=3197257680000.0000, tv loss=24304892.0000
L-BFGS | iteration: 009, total loss=2983490748416.0000, content_loss= 937462.3108, style loss=2983465680000.0000, tv loss=24072734.0000
L-BFGS | iteration: 010, total loss=2520344428544.0000, content_loss=9547189.9414, style loss=2520311760000.0000, tv loss=23361016.0000
L-BFGS | iteration: 011, total loss=2284856279040.0000, content_loss=19789525.1465, style loss=2284813920000.0000, tv loss=22877886.0000
L-BFGS | iteration: 012, total loss=2085813223424.0000, content_loss=31802221.6797, style loss=2085758640000.0000, tv loss=22698736.0000
L-BFGS | iteration: 013, total loss=1898822107136.0000, content_loss=46397241.2109, style loss=1898752680000.0000, tv loss=23117212.0000
L-BFGS | iteration: 014, total loss=1759233179648.0000, content_loss=58275297.8516, style loss=1759150920000.0000, tv loss=23929852.0000
L-BFGS | iteration: 015, total loss=1602593882112.0000, content_loss=63295678.7109, style loss=1602506400000.0000, tv loss=24110072.0000
L-BFGS | iteration: 016, total loss=1450435280896.0000, content_loss=65476245.1172, style loss=1450345800000.0000, tv loss=23967988.0000
L-BFGS | iteration: 017, total loss=1345573879808.0000, content_loss=69827275.3906, style loss=1345479720000.0000, tv loss=24212128.0000
L-BFGS | iteration: 018, total loss=1257234104320.0000, content_loss=73933813.4766, style loss=1257135720000.0000, tv loss=24445140.0000
L-BFGS | iteration: 019, total loss=1174906077184.0000, content_loss=77182500.0000, style loss=1174804200000.0000, tv loss=24595896.0000
L-BFGS | iteration: 020, total loss=1106265243648.0000, content_loss=80745737.3047, style loss=1106159640000.0000, tv loss=24891796.0000
L-BFGS | iteration: 021, total loss=1046979411968.0000, content_loss=83009306.6406, style loss=1046871240000.0000, tv loss=25160816.0000
L-BFGS | iteration: 022, total loss=994601533440.0000, content_loss=85063408.2031, style loss=994491060000.0000, tv loss=25455260.0000
L-BFGS | iteration: 023, total loss=947277070336.0000, content_loss=86260996.0938, style loss=947165220000.0000, tv loss=25637368.0000
L-BFGS | iteration: 024, total loss=905952559104.0000, content_loss=87846591.7969, style loss=905838840000.0000, tv loss=25873908.0000
L-BFGS | iteration: 025, total loss=869414993920.0000, content_loss=88689287.1094, style loss=869300280000.0000, tv loss=26002872.0000
L-BFGS | iteration: 026, total loss=835767042048.0000, content_loss=90415732.4219, style loss=835650420000.0000, tv loss=26226876.0000
L-BFGS | iteration: 027, total loss=805706989568.0000, content_loss=91138496.0938, style loss=805589460000.0000, tv loss=26313262.0000
L-BFGS | iteration: 028, total loss=778634133504.0000, content_loss=93122744.1406, style loss=778514460000.0000, tv loss=26553104.0000
L-BFGS | iteration: 029, total loss=753830985728.0000, content_loss=93421513.6719, style loss=753711000000.0000, tv loss=26582988.0000
L-BFGS | iteration: 030, total loss=730799996928.0000, content_loss=95127656.2500, style loss=730678020000.0000, tv loss=26810654.0000
L-BFGS | iteration: 031, total loss=709631475712.0000, content_loss=94844912.1094, style loss=709509900000.0000, tv loss=26751576.0000
