L-BFGS | iteration: 000, total loss=5066941530112.0000, content_loss=      0.0000, style loss=5066935200000.0000, tv loss=6511108.0000
L-BFGS | iteration: 001, total loss=5066938384384.0000, content_loss=      0.0004, style loss=5066932320000.0000, tv loss=6511108.0000
L-BFGS | iteration: 002, total loss=5066923180032.0000, content_loss=      0.0116, style loss=5066916960000.0000, tv loss=6511112.5000
L-BFGS | iteration: 003, total loss=5066837196800.0000, content_loss=      0.3504, style loss=5066831040000.0000, tv loss=6511133.0000
L-BFGS | iteration: 004, total loss=5066362716160.0000, content_loss=     10.6825, style loss=5066356320000.0000, tv loss=6511245.0000
L-BFGS | iteration: 005, total loss=5061101486080.0000, content_loss=   1106.9844, style loss=5061095040000.0000, tv loss=6512479.0000
L-BFGS | iteration: 006, total loss=5026530983936.0000, content_loss=  53728.2991, style loss=5026524480000.0000, tv loss=6520664.0000
L-BFGS | iteration: 007, total loss=4726195748864.0000, content_loss=3423763.4277, style loss=4726185120000.0000, tv loss=6604800.5000
L-BFGS | iteration: 008, total loss=3632955916288.0000, content_loss=43144218.7500, style loss=3632905440000.0000, tv loss=7383800.0000
L-BFGS | iteration: 009, total loss=2709764177920.0000, content_loss=89330996.0938, style loss=2709666000000.0000, tv loss=8918648.0000
L-BFGS | iteration: 010, total loss=2046004690944.0000, content_loss=123314257.8125, style loss=2045870880000.0000, tv loss=10479528.0000
L-BFGS | iteration: 011, total loss=1478705283072.0000, content_loss=157691884.7656, style loss=1478534640000.0000, tv loss=12938970.0000
L-BFGS | iteration: 012, total loss=1116228681728.0000, content_loss=178575058.5938, style loss=1116035520000.0000, tv loss=14635385.0000
L-BFGS | iteration: 013, total loss=870639730688.0000, content_loss=176215332.0312, style loss=870447360000.0000, tv loss=16113800.0000
L-BFGS | iteration: 014, total loss=719319793664.0000, content_loss=202120136.7188, style loss=719100420000.0000, tv loss=17227760.0000
L-BFGS | iteration: 015, total loss=608770850816.0000, content_loss=195211640.6250, style loss=608558460000.0000, tv loss=17176744.0000
L-BFGS | iteration: 016, total loss=539904147456.0000, content_loss=205088574.2188, style loss=539680740000.0000, tv loss=18306672.0000
L-BFGS | iteration: 017, total loss=475587280896.0000, content_loss=213771152.3438, style loss=475354650000.0000, tv loss=18843316.0000
L-BFGS | iteration: 018, total loss=361633546240.0000, content_loss=214702460.9375, style loss=361399290000.0000, tv loss=19568774.0000
L-BFGS | iteration: 019, total loss=339281149952.0000, content_loss=243731640.6250, style loss=339017550000.0000, tv loss=19867128.0000
L-BFGS | iteration: 020, total loss=268964495360.0000, content_loss=226544042.9688, style loss=268718040000.0000, tv loss=19907276.0000
L-BFGS | iteration: 021, total loss=254333321216.0000, content_loss=223282304.6875, style loss=254089680000.0000, tv loss=20372254.0000
L-BFGS | iteration: 022, total loss=233874063360.0000, content_loss=217138027.3438, style loss=233636955000.0000, tv loss=19979714.0000
L-BFGS | iteration: 023, total loss=209272602624.0000, content_loss=220607304.6875, style loss=209031825000.0000, tv loss=20163564.0000
L-BFGS | iteration: 024, total loss=183438573568.0000, content_loss=229514394.5312, style loss=183188430000.0000, tv loss=20639560.0000
L-BFGS | iteration: 025, total loss=160519684096.0000, content_loss=231124414.0625, style loss=160267965000.0000, tv loss=20587260.0000
L-BFGS | iteration: 026, total loss=145451433984.0000, content_loss=227869355.4688, style loss=145202685000.0000, tv loss=20873834.0000
L-BFGS | iteration: 027, total loss=126272888832.0000, content_loss=228642851.5625, style loss=126023415000.0000, tv loss=20824462.0000
L-BFGS | iteration: 028, total loss=112932651008.0000, content_loss=231176816.4062, style loss=112680360000.0000, tv loss=21107378.0000
L-BFGS | iteration: 029, total loss=101371158528.0000, content_loss=235803730.4688, style loss=101114040000.0000, tv loss=21318596.0000
L-BFGS | iteration: 030, total loss=91199381504.0000, content_loss=237710800.7812, style loss=90940425000.0000, tv loss=21249096.0000
L-BFGS | iteration: 031, total loss=111868977152.0000, content_loss=231522109.3750, style loss=111615420000.0000, tv loss=22037280.0000
L-BFGS | iteration: 032, total loss=85283127296.0000, content_loss=235517246.0938, style loss=85026112500.0000, tv loss=21499280.0000
L-BFGS | iteration: 033, total loss=79999565824.0000, content_loss=235266914.0625, style loss=79742707500.0000, tv loss=21593630.0000
L-BFGS | iteration: 034, total loss=71611310080.0000, content_loss=237745058.5938, style loss=71351842500.0000, tv loss=21715316.0000
L-BFGS | iteration: 035, total loss=64029073408.0000, content_loss=238514199.2188, style loss=63768592500.0000, tv loss=21968524.0000
L-BFGS | iteration: 036, total loss=57124356096.0000, content_loss=238842246.0938, style loss=56863597500.0000, tv loss=21917252.0000
L-BFGS | iteration: 037, total loss=56522387456.0000, content_loss=238894238.2812, style loss=56261238750.0000, tv loss=22253416.0000
L-BFGS | iteration: 038, total loss=55213146112.0000, content_loss=238933281.2500, style loss=54952106250.0000, tv loss=22104068.0000
