L-BFGS | iteration: 000, total loss=2872146919424.0000, content_loss=      0.0000, style loss=2872140480000.0000, tv loss=6511108.0000
L-BFGS | iteration: 001, total loss=2872141938688.0000, content_loss=      0.0003, style loss=2872135440000.0000, tv loss=6511108.0000
L-BFGS | iteration: 002, total loss=2872116772864.0000, content_loss=      0.0067, style loss=2872110240000.0000, tv loss=6511106.0000
L-BFGS | iteration: 003, total loss=2872014536704.0000, content_loss=      0.1281, style loss=2872008000000.0000, tv loss=6511100.0000
L-BFGS | iteration: 004, total loss=2871417372672.0000, content_loss=      3.8870, style loss=2871410880000.0000, tv loss=6511064.0000
L-BFGS | iteration: 005, total loss=2868128776192.0000, content_loss=    118.6260, style loss=2868122160000.0000, tv loss=6510865.0000
L-BFGS | iteration: 006, total loss=2832434987008.0000, content_loss=  12113.2755, style loss=2832428400000.0000, tv loss=6508673.0000
L-BFGS | iteration: 007, total loss=2521842843648.0000, content_loss=1098619.1559, style loss=2521835280000.0000, tv loss=6487211.0000
L-BFGS | iteration: 008, total loss=1487384346624.0000, content_loss=21084645.9961, style loss=1487356800000.0000, tv loss=6460779.0000
L-BFGS | iteration: 009, total loss=1069295665152.0000, content_loss=40345834.9609, style loss=1069248840000.0000, tv loss=6449504.0000
L-BFGS | iteration: 010, total loss=825237962752.0000, content_loss=60417944.3359, style loss=825171060000.0000, tv loss=6459130.0000
L-BFGS | iteration: 011, total loss=678306447360.0000, content_loss=78597749.0234, style loss=678221400000.0000, tv loss=6500932.0000
L-BFGS | iteration: 012, total loss=575245123584.0000, content_loss=94384472.6562, style loss=575144160000.0000, tv loss=6590227.0000
L-BFGS | iteration: 013, total loss=495808708608.0000, content_loss=107768867.1875, style loss=495694230000.0000, tv loss=6725167.5000
L-BFGS | iteration: 014, total loss=431350120448.0000, content_loss=117285966.7969, style loss=431225970000.0000, tv loss=6876089.0000
L-BFGS | iteration: 015, total loss=377056460800.0000, content_loss=124007060.5469, style loss=376925430000.0000, tv loss=7038531.5000
L-BFGS | iteration: 016, total loss=330879238144.0000, content_loss=129179765.6250, style loss=330742890000.0000, tv loss=7191363.0000
L-BFGS | iteration: 017, total loss=290023604224.0000, content_loss=133046845.7031, style loss=289883250000.0000, tv loss=7297156.0000
L-BFGS | iteration: 018, total loss=254275813376.0000, content_loss=136258974.6094, style loss=254132160000.0000, tv loss=7381513.5000
L-BFGS | iteration: 019, total loss=223130943488.0000, content_loss=140274580.0781, style loss=222983205000.0000, tv loss=7454019.5000
L-BFGS | iteration: 020, total loss=195286728704.0000, content_loss=144185937.5000, style loss=195135030000.0000, tv loss=7526710.0000
L-BFGS | iteration: 021, total loss=170181459968.0000, content_loss=148395156.2500, style loss=170025420000.0000, tv loss=7658698.0000
L-BFGS | iteration: 022, total loss=147841220608.0000, content_loss=153861220.7031, style loss=147679560000.0000, tv loss=7805807.0000
L-BFGS | iteration: 023, total loss=128869752832.0000, content_loss=155910468.7500, style loss=128705865000.0000, tv loss=7978440.0000
L-BFGS | iteration: 024, total loss=112697540608.0000, content_loss=162623925.7812, style loss=112526760000.0000, tv loss=8147378.0000
L-BFGS | iteration: 025, total loss=102877061120.0000, content_loss=156793115.2344, style loss=102711982500.0000, tv loss=8285839.0000
L-BFGS | iteration: 026, total loss=91555119104.0000, content_loss=162794375.0000, style loss=91383930000.0000, tv loss=8400702.0000
L-BFGS | iteration: 027, total loss=84459470848.0000, content_loss=165601503.9062, style loss=84285450000.0000, tv loss=8421498.0000
L-BFGS | iteration: 028, total loss=76099371008.0000, content_loss=164085175.7812, style loss=75926662500.0000, tv loss=8623801.0000
L-BFGS | iteration: 029, total loss=67798294528.0000, content_loss=170070429.6875, style loss=67619475000.0000, tv loss=8749013.0000
L-BFGS | iteration: 030, total loss=62313590784.0000, content_loss=167775429.6875, style loss=62137128750.0000, tv loss=8689402.0000
L-BFGS | iteration: 031, total loss=56039256064.0000, content_loss=170620585.9375, style loss=55859797500.0000, tv loss=8839453.0000
L-BFGS | iteration: 032, total loss=50827034624.0000, content_loss=171599082.0312, style loss=50646498750.0000, tv loss=8938353.0000
L-BFGS | iteration: 033, total loss=45173747712.0000, content_loss=172956816.4062, style loss=44991663750.0000, tv loss=9125887.0000
L-BFGS | iteration: 034, total loss=40947568640.0000, content_loss=177799023.4375, style loss=40760625000.0000, tv loss=9146805.0000
L-BFGS | iteration: 035, total loss=41465061376.0000, content_loss=170412949.2188, style loss=41285325000.0000, tv loss=9320870.0000
L-BFGS | iteration: 036, total loss=39169527808.0000, content_loss=174238222.6562, style loss=38986068750.0000, tv loss=9218322.0000
L-BFGS | iteration: 037, total loss=37358178304.0000, content_loss=174306308.5938, style loss=37174627500.0000, tv loss=9244398.0000
L-BFGS | iteration: 038, total loss=34666696704.0000, content_loss=174964609.3750, style loss=34482442500.0000, tv loss=9289221.0000
L-BFGS | iteration: 039, total loss=31470354432.0000, content_loss=177545195.3125, style loss=31283379375.0000, tv loss=9429384.0000
L-BFGS | iteration: 040, total loss=28568547328.0000, content_loss=178463496.0938, style loss=28380710625.0000, tv loss=9372905.0000
L-BFGS | iteration: 041, total loss=26805200896.0000, content_loss=180156425.7812, style loss=26615510625.0000, tv loss=9533514.0000
L-BFGS | iteration: 042, total loss=25377544192.0000, content_loss=179157109.3750, style loss=25188933750.0000, tv loss=9454370.0000
L-BFGS | iteration: 043, total loss=24343564288.0000, content_loss=180433769.5312, style loss=24153693750.0000, tv loss=9437812.0000
L-BFGS | iteration: 044, total loss=24475492352.0000, content_loss=178539824.2188, style loss=24287370000.0000, tv loss=9581739.0000
